ID_Transacao,Data,Regional,Vendedor,Categoria,Produto,Valor_Venda
1,11/03/2026,Sul,Ana,Acessórios,Mouse Gamer,150.00
2,08/03/2026,Sul,Ana,Eletrodomésticos,Airfryer,450.00
3,04/03/2026,Nordeste,Ana,Acessórios,Teclado Mecânico,350.00
4,13/03/2026,Sul,Carla,Cozinha,Jogo de Panelas,600.00
5,14/03/2026,Sudeste,Diego,Eletrodomésticos,Geladeira,3800.00
6,09/03/2026,Sul,Elena,Eletrodomésticos,Airfryer,450.00
7,13/03/2026,Sudeste,Ana,Eletrodomésticos,Ar Condicionado,2200.00
8,10/03/2026,Sul,Carla,Cozinha,Jogo de Panelas,600.00
9,12/03/2026,Sudeste,Diego,Eletrodomésticos,Micro-ondas,700.00
10,04/03/2026,Sudeste,Elena,Eletrodomésticos,Máquina de Lavar,2900.00
11,15/03/2026,Sudeste,Diego,Eletrodomésticos,Geladeira,3800.00
12,07/03/2026,Nordeste,Carla,Eletrodomésticos,Máquina de Lavar,2900.00
13,09/03/2026,Sul,Elena,Eletrodomésticos,Ar Condicionado,2200.00
14,07/03/2026,Sudeste,Carla,Eletrodomésticos,Máquina de Lavar,2900.00
15,09/03/2026,Sudeste,Carla,Eletrodomésticos,Ar Condicionado,2200.00
16,04/03/2026,Sudeste,Ana,Acessórios,Capa Tablet,100.00
17,12/03/2026,Sudeste,Elena,Acessórios,Mouse Gamer,150.00
18,06/03/2026,Nordeste,Elena,Acessórios,Capa Tablet,100.00
19,04/03/2026,Sul,Diego,Eletrônicos,Monitor 24,1200.00
20,15/03/2026,Nordeste,Diego,Móveis,Cadeira Office,800.00
21,15/03/2026,Sudeste,Diego,Móveis,Sofá 3 Lugares,2100.00
22,10/03/2026,Sul,Diego,Eletrônicos,Smartphone,2500.00
23,13/03/2026,Nordeste,Bruno,Móveis,Sofá 3 Lugares,2100.00
24,01/03/2026,Sul,Ana,Eletrônicos,Monitor 24,1200.00
25,13/03/2026,Sul,Bruno,Eletrodomésticos,Máquina de Lavar,2900.00
26,06/03/2026,Sudeste,Carla,Móveis,Painel TV,400.00
27,07/03/2026,Nordeste,Diego,Eletrodomésticos,Micro-ondas,700.00
28,06/03/2026,Sul,Diego,Eletrodomésticos,Cafeteira,350.00
29,13/03/2026,Sul,Diego,Móveis,Painel TV,400.00
30,14/03/2026,Nordeste,Bruno,Acessórios,Capa Tablet,100.00
31,13/03/2026,Nordeste,Elena,Eletrodomésticos,Cafeteira,350.00
32,02/03/2026,Sul,Bruno,Eletrodomésticos,Ar Condicionado,2200.00
33,09/03/2026,Sudeste,Elena,Acessórios,Fone Bluetooth,200.00
34,06/03/2026,Nordeste,Diego,Cozinha,Jogo de Panelas,600.00
35,10/03/2026,Sudeste,Ana,Móveis,Painel TV,400.00
36,06/03/2026,Sul,Diego,Eletrônicos,Tablet,1800.00
37,05/03/2026,Sul,Bruno,Eletrodomésticos,Geladeira,3800.00
38,03/03/2026,Nordeste,Bruno,Eletrodomésticos,Micro-ondas,700.00
39,06/03/2026,Sudeste,Carla,Acessórios,Capa Tablet,100.00
40,09/03/2026,Sul,Carla,Eletrônicos,Tablet,1800.00
41,03/03/2026,Sudeste,Elena,Eletrônicos,Notebook,4500.00
42,06/03/2026,Sudeste,Elena,Eletrodomésticos,Cafeteira,350.00
43,06/03/2026,Nordeste,Carla,Móveis,Painel TV,400.00
44,08/03/2026,Sul,Carla,Acessórios,Teclado Mecânico,350.00
45,10/03/2026,Sudeste,Ana,Eletrônicos,Tablet,1800.00
46,05/03/2026,Sudeste,Diego,Móveis,Sofá 3 Lugares,2100.00
47,10/03/2026,Sul,Carla,Acessórios,Fone Bluetooth,200.00
